Row	Column	NT	Info
6	39	NT12336	
6	40	NT12388	
6	41	NT12316	
6	42	NT12366	
6	43	NT12221	
6	44	NT12413	
6	45	NT12317	
6	46	NT12367	
6	47	NT12312	
6	48	NT12360	
7	1	NT12012	
7	2	NT12180	
7	3	NT12017	
7	4	NT12168	
7	5	NT12011	
7	6	NT12097	
7	7	NT12016	
7	8	NT12187	
7	9	NT12010	
7	10	NT12179	
7	11	NT12010	
7	12	NT12189	
7	13	NT12009	
7	14	NT12178	
7	15	NT12013	
7	16	NT12170	
7	17	NT12008	
7	18	NT12177	
7	19	NT12025	
7	20	NT12136	
7	21	NT12007	
7	22	NT12176	
7	23	NT12094	
7	24	NT12156	
7	25	NT12006	
7	26	NT12175	
7	27	NT12080	
7	28	NT12190	
7	29	NT12005	
7	30	NT12174	
7	31	NT12066	
7	32	NT12115	
7	33	NT12004	
7	34	NT12173	
7	35	NT12038	
7	36	NT12145	
7	37	NT12003	
7	38	NT12172	
7	39	NT12075	
7	40	NT12191	
7	41	NT12002	
7	42	NT12171	
7	43	NT12001	
7	44	NT12106	
7	45	NT12001	
7	46	NT12170	
7	47	NT12060	
7	48	NT12165	
8	1	NT12221	
8	2	NT12427	
8	3	NT12315	
8	4	NT12430	
8	5	NT12220	
8	6	NT12426	
8	7	NT12326	
8	8	NT12385	
8	9	NT12219	
8	10	NT12425	
8	11	NT12219	
8	12	NT12359	
8	13	NT12218	
8	14	NT12424	
8	15	NT12337	
8	16	NT12379	
8	17	NT12217	
8	18	NT12423	
8	19	NT12440	
8	20	NT12414	
8	21	NT12216	
8	22	NT12422	
8	23	NT12319	
8	24	NT12396	
8	25	NT12215	
8	26	NT12421	
8	27	NT12205	
8	28	NT12351	
8	29	NT12214	
8	30	NT12420	
8	31	NT12233	
8	32	NT12400	
8	33	NT12213	
8	34	NT12419	
8	35	NT12230	
8	36	NT12406	
8	37	NT12212	
8	38	NT12418	
8	39	NT12335	
8	40	NT12357	
8	41	NT12211	
8	42	NT12417	
8	43	NT12305	
8	44	NT12391	
8	45	NT12210	
8	46	NT12416	
8	47	NT12299	
8	48	NT12392	
9	1	NT12041	
9	2	NT12122	
9	3	NT12069	
9	4	NT12178	
9	5	NT12042	
9	6	NT12123	
9	7	NT12047	
9	8	NT12162	
9	9	NT12043	
9	10	NT12124	
9	11	NT12095	
9	12	NT12158	
9	13	NT12044	
9	14	NT12125	
9	15	NT12031	
9	16	NT12182	
9	17	NT12045	
9	18	NT12126	
9	19	NT12035	
9	20	NT12153	
9	21	NT12046	
9	22	NT12127	
9	23	NT12072	
9	24	NT12188	
9	25	NT12047	
9	26	NT12128	
9	27	NT12007	
9	28	NT12129	
9	29	NT12048	
9	30	NT12129	
9	31	NT12037	
9	32	NT12166	
9	33	NT12049	
9	34	NT12130	
9	35	NT12077	
9	36	NT12101	
9	37	NT12050	
9	38	NT12131	
9	39	NT12019	
9	40	NT12111	
9	41	NT12051	
9	42	NT12132	
9	43	NT12067	
9	44	NT12105	
9	45	NT12052	
9	46	NT12133	
9	47	NT12092	
9	48	NT12160	
10	1	NT12318	
10	2	NT12368	
10	3	NT12307	
10	4	NT12402	
10	5	NT12319	
10	6	NT12369	
10	7	NT12201	
10	8	NT12372	
10	9	NT12320	
10	10	NT12370	
10	11	NT12225	
10	12	NT12421	
10	13	NT12321	
10	14	NT12371	
10	15	NT12228	
10	16	NT12362	
10	17	NT12322	
10	18	NT12372	
10	19	NT12206	
10	20	NT12418	
10	21	NT12323	
10	22	NT12373	
10	23	NT12324	
10	24	NT12389	
10	25	NT12324	
10	26	NT12374	
10	27	NT12232	
10	28	NT12371	
10	29	NT12193	
10	30	NT12375	
10	31	NT12194	
10	32	NT12425	
10	33	NT12194	
10	34	NT12376	
10	35	NT12226	
10	36	NT12368	
10	37	NT12195	
10	38	NT12377	
10	39	NT12332	
10	40	NT12345	
10	41	NT12196	
10	42	NT12378	
10	43	NT12339	
10	44	NT12358	
10	45	NT12197	
10	46	NT12379	
10	47	NT12203	
10	48	NT12435	
11	1	NT12088	
11	2	NT12169	
11	3	NT12087	
11	4	NT12110	
11	5	NT12087	
11	6	NT12168	
11	7	NT12041	
11	8	NT12131	
11	9	NT12086	
11	10	NT12167	
11	11	NT12058	
11	12	NT12117	
11	13	NT12085	
11	14	NT12166	
11	15	NT12044	
11	16	NT12108	
11	17	NT12084	
11	18	NT12165	
11	19	NT12082	
11	20	NT12157	
11	21	NT12083	
11	22	NT12164	
11	23	NT12042	
11	24	NT12176	
11	25	NT12082	
11	26	NT12163	
11	27	NT12078	
11	28	NT12137	
11	29	NT12081	
11	30	NT12162	
11	31	NT12059	
11	32	NT12159	
11	33	NT12080	
11	34	NT12161	
11	35	NT12002	
11	36	NT12135	
11	37	NT12079	
11	38	NT12160	
11	39	NT12018	
11	40	NT12116	
11	41	NT12078	
11	42	NT12159	
11	43	NT12033	
11	44	NT12133	
11	45	NT12077	
11	46	NT12158	
11	47	NT12050	
11	48	NT12171	
12	1	NT12209	
12	2	NT12415	
12	3	NT12211	
12	4	NT12433	
12	5	NT12208	
12	6	NT12414	
12	7	NT12326	
12	8	NT12438	
12	9	NT12207	
12	10	NT12413	
12	11	NT12234	
12	12	NT12403	
12	13	NT12206	
12	14	NT12412	
12	15	NT12442	
12	16	NT12428	
12	17	NT12205	
12	18	NT12411	
12	19	NT12320	
12	20	NT12356	
12	21	NT12204	
12	22	NT12410	
12	23	NT12209	
12	24	NT12437	
12	25	NT12203	
12	26	NT12409	
12	27	NT12213	
12	28	NT12398	
12	29	NT12202	
12	30	NT12408	
12	31	NT12340	
12	32	NT12431	
12	33	NT12201	
12	34	NT12407	
12	35	NT12317	
12	36	NT12401	
12	37	NT12200	
12	38	NT12406	
12	39	NT12208	
12	40	NT12381	
12	41	NT12199	
12	42	NT12405	
12	43	NT12309	
12	44	NT12373	
12	45	NT12198	
12	46	NT12404	
12	47	NT12443	
12	48	NT12397	
13	1	NT12053	
13	2	NT12134	
13	3	NT12081	
13	4	NT12113	
13	5	NT12054	
13	6	NT12135	
13	7	NT12055	
13	8	NT12154	
13	9	NT12055	
13	10	NT12136	
13	11	NT12065	
13	12	NT12128	
13	13	NT12056	
13	14	NT12137	
13	15	NT12084	
13	16	NT12103	
13	17	NT12057	
13	18	NT12138	
13	19	NT12046	
13	20	NT12107	
13	21	NT12058	
13	22	NT12139	
13	23	NT12020	
13	24	NT12126	
13	25	NT12059	
13	26	NT12140	
13	27	NT12071	
13	28	NT12104	
13	29	NT12060	
13	30	NT12141	
13	31	NT12030	
13	32	NT12143	
13	33	NT12061	
13	34	NT12142	
13	35	NT12083	
13	36	NT12149	
13	37	NT12062	
13	38	NT12143	
13	39	NT12090	
13	40	NT12181	
13	41	NT12063	
13	42	NT12144	
13	43	NT12021	
13	44	NT12148	
13	45	NT12064	
13	46	NT12145	
13	47	NT12048	
13	48	NT12146	
14	1	NT12325	
14	2	NT12380	
14	3	NT12207	
14	4	NT12434	
14	5	NT12326	
14	6	NT12381	
14	7	NT12222	
14	8	NT12355	
14	9	NT12327	
14	10	NT12382	
14	11	NT12304	
14	12	NT12427	
14	13	NT12328	
14	14	NT12383	
14	15	NT12204	
14	16	NT12370	
14	17	NT12329	
14	18	NT12384	
14	19	NT12297	
14	20	NT12369	
14	21	NT12330	
14	22	NT12385	
14	23	NT12229	
14	24	NT12344	
14	25	NT12331	
14	26	NT12386	
14	27	NT12199	
14	28	NT12347	
14	29	NT12332	
14	30	NT12387	
14	31	NT12308	
14	32	NT12386	
14	33	NT12333	
14	34	NT12388	
14	35	NT12327	
14	36	NT12399	
14	37	NT12334	
14	38	NT12389	
14	39	NT12200	
14	40	NT12416	
14	41	NT12335	
14	42	NT12390	
14	43	NT12323	
14	44	NT12382	
14	45	NT12336	
14	46	NT12391	
14	47	NT12193	
14	48	NT12424	
15	1	NT12076	
15	2	NT12157	
15	3	NT12039	
15	4	NT12138	
15	5	NT12075	
15	6	NT12156	
15	7	NT12003	
15	8	NT12163	
15	9	NT12074	
15	10	NT12155	
15	11	NT12023	
15	12	NT12134	
15	13	NT12073	
15	14	NT12154	
15	15	NT12054	
15	16	NT12098	
15	17	NT12072	
15	18	NT12153	
15	19	NT12061	
15	20	NT12186	
15	21	NT12071	
15	22	NT12152	
15	23	NT12088	
15	24	NT12130	
15	25	NT12070	
15	26	NT12151	
15	27	NT12040	
15	28	NT12124	
15	29	NT12069	
15	30	NT12150	
15	31	NT12011	
15	32	NT12152	
15	33	NT12068	
15	34	NT12149	
15	35	NT12062	
15	36	NT12183	
15	37	NT12067	
15	38	NT12148	
15	39	NT12086	
15	40	NT12150	
15	41	NT12066	
15	42	NT12147	
15	43	NT12093	
15	44	NT12147	
15	45	NT12065	
15	46	NT12146	
15	47	NT12049	
15	48	NT12114	
16	1	NT12443	
16	2	NT12403	
16	3	NT12195	
16	4	NT12409	
16	5	NT12442	
16	6	NT12402	
16	7	NT12334	
16	8	NT12408	
16	9	NT12441	
16	10	NT12401	
16	11	NT12325	
16	12	NT12364	
16	13	NT12440	
16	14	NT12400	
16	15	NT12314	
16	16	NT12380	
16	17	NT12234	
16	18	NT12399	
16	19	NT12333	
16	20	NT12352	
16	21	NT12343	
16	22	NT12398	
16	23	NT12298	
16	24	NT12420	
16	25	NT12342	
16	26	NT12397	
16	27	NT12231	
16	28	NT12395	
16	29	NT12341	
16	30	NT12396	
16	31	NT12311	
16	32	NT12405	
16	33	NT12340	
16	34	NT12395	
16	35	NT12313	
16	36	NT12361	
16	37	NT12339	
16	38	NT12394	
16	39	NT12218	
16	40	NT12375	
16	41	NT12338	
16	42	NT12393	
16	43	NT12322	
16	44	NT12423	
16	45	NT12337	
16	46	NT12392	
16	47	NT12212	
16	48	NT12415	
17	1	NT12065	
17	2	NT12146	
17	3	NT12049	
17	4	NT12114	
17	5	NT12066	
17	6	NT12147	
17	7	NT12093	
17	8	NT12147	
17	9	NT12067	
17	10	NT12148	
17	11	NT12086	
17	12	NT12150	
17	13	NT12068	
17	14	NT12149	
17	15	NT12062	
17	16	NT12183	
17	17	NT12069	
17	18	NT12150	
17	19	NT12011	
17	20	NT12152	
17	21	NT12070	
17	22	NT12151	
17	23	NT12040	
17	24	NT12124	
17	25	NT12071	
17	26	NT12152	
17	27	NT12088	
17	28	NT12130	
17	29	NT12072	
17	30	NT12153	
17	31	NT12061	
17	32	NT12186	
17	33	NT12073	
17	34	NT12154	
17	35	NT12054	
17	36	NT12098	
17	37	NT12074	
17	38	NT12155	
17	39	NT12023	
17	40	NT12134	
17	41	NT12075	
17	42	NT12156	
17	43	NT12003	
17	44	NT12163	
17	45	NT12076	
17	46	NT12157	
17	47	NT12039	
17	48	NT12138	
18	1	NT12337	
18	2	NT12392	
18	3	NT12212	
18	4	NT12415	
18	5	NT12338	
18	6	NT12393	
18	7	NT12322	
18	8	NT12423	
18	9	NT12339	
18	10	NT12394	
18	11	NT12218	
18	12	NT12375	
18	13	NT12340	
18	14	NT12395	
18	15	NT12313	
18	16	NT12361	
18	17	NT12341	
18	18	NT12396	
18	19	NT12311	
18	20	NT12405	
18	21	NT12342	
18	22	NT12397	
18	23	NT12231	
18	24	NT12395	
18	25	NT12343	
18	26	NT12398	
18	27	NT12298	
18	28	NT12420	
18	29	NT12234	
18	30	NT12399	
18	31	NT12333	
18	32	NT12352	
18	33	NT12440	
18	34	NT12400	
18	35	NT12314	
18	36	NT12380	
18	37	NT12441	
18	38	NT12401	
18	39	NT12325	
18	40	NT12364	
18	41	NT12442	
18	42	NT12402	
18	43	NT12334	
18	44	NT12408	
18	45	NT12443	
18	46	NT12403	
18	47	NT12195	
18	48	NT12409	
19	1	NT12064	
19	2	NT12145	
19	3	NT12048	
19	4	NT12146	
19	5	NT12063	
19	6	NT12144	
19	7	NT12021	
19	8	NT12148	
19	9	NT12062	
19	10	NT12143	
19	11	NT12090	
19	12	NT12181	
19	13	NT12061	
19	14	NT12142	
19	15	NT12083	
19	16	NT12149	
19	17	NT12060	
19	18	NT12141	
19	19	NT12030	
19	20	NT12143	
19	21	NT12059	
19	22	NT12140	
19	23	NT12071	
19	24	NT12104	
19	25	NT12058	
19	26	NT12139	
19	27	NT12020	
19	28	NT12126	
19	29	NT12057	
19	30	NT12138	
19	31	NT12046	
19	32	NT12107	
19	33	NT12056	
19	34	NT12137	
19	35	NT12084	
19	36	NT12103	
19	37	NT12055	
19	38	NT12136	
19	39	NT12065	
19	40	NT12128	
19	41	NT12054	
19	42	NT12135	
19	43	NT12055	
19	44	NT12154	
19	45	NT12053	
19	46	NT12134	
19	47	NT12081	
19	48	NT12113	
20	1	NT12336	
20	2	NT12391	
20	3	NT12193	
20	4	NT12424	
20	5	NT12335	
20	6	NT12390	
20	7	NT12323	
20	8	NT12382	
20	9	NT12334	
20	10	NT12389	
20	11	NT12200	
20	12	NT12416	
20	13	NT12333	
20	14	NT12388	
20	15	NT12327	
20	16	NT12399	
20	17	NT12332	
20	18	NT12387	
20	19	NT12308	
20	20	NT12386	
20	21	NT12331	
20	22	NT12386	
20	23	NT12199	
20	24	NT12347	
20	25	NT12330	
20	26	NT12385	
20	27	NT12229	
20	28	NT12344	
20	29	NT12329	
20	30	NT12384	
20	31	NT12297	
20	32	NT12369	
20	33	NT12328	
20	34	NT12383	
20	35	NT12204	
20	36	NT12370	
20	37	NT12327	
20	38	NT12382	
20	39	NT12304	
20	40	NT12427	
20	41	NT12326	
20	42	NT12381	
20	43	NT12222	
20	44	NT12355	
20	45	NT12325	
20	46	NT12380	
20	47	NT12207	
20	48	NT12434	
21	1	NT12077	
21	2	NT12158	
21	3	NT12050	
21	4	NT12171	
21	5	NT12078	
21	6	NT12159	
21	7	NT12033	
21	8	NT12133	
21	9	NT12079	
21	10	NT12160	
21	11	NT12018	
21	12	NT12116	
21	13	NT12080	
21	14	NT12161	
21	15	NT12002	
21	16	NT12135	
21	17	NT12081	
21	18	NT12162	
21	19	NT12059	
21	20	NT12159	
21	21	NT12082	
21	22	NT12163	
21	23	NT12078	
21	24	NT12137	
21	25	NT12083	
21	26	NT12164	
21	27	NT12042	
21	28	NT12176	
21	29	NT12084	
21	30	NT12165	
21	31	NT12082	
21	32	NT12157	
21	33	NT12085	
21	34	NT12166	
21	35	NT12044	
21	36	NT12108	
21	37	NT12086	
21	38	NT12167	
21	39	NT12058	
21	40	NT12117	
21	41	NT12087	
21	42	NT12168	
21	43	NT12041	
21	44	NT12131	
21	45	NT12088	
21	46	NT12169	
21	47	NT12087	
21	48	NT12110	
22	1	NT12198	
22	2	NT12404	
22	3	NT12443	
22	4	NT12397	
22	5	NT12199	
22	6	NT12405	
22	7	NT12309	
22	8	NT12373	
22	9	NT12200	
22	10	NT12406	
22	11	NT12208	
22	12	NT12381	
22	13	NT12201	
22	14	NT12407	
22	15	NT12317	
22	16	NT12401	
22	17	NT12202	
22	18	NT12408	
22	19	NT12340	
22	20	NT12431	
22	21	NT12203	
22	22	NT12409	
22	23	NT12213	
22	24	NT12398	
22	25	NT12204	
22	26	NT12410	
22	27	NT12209	
22	28	NT12437	
22	29	NT12205	
22	30	NT12411	
22	31	NT12320	
22	32	NT12356	
22	33	NT12206	
22	34	NT12412	
22	35	NT12442	
22	36	NT12428	
22	37	NT12207	
22	38	NT12413	
22	39	NT12234	
22	40	NT12403	
22	41	NT12208	
22	42	NT12414	
22	43	NT12326	
22	44	NT12438	
22	45	NT12209	
22	46	NT12415	
22	47	NT12211	
22	48	NT12433	
23	1	NT12052	
23	2	NT12133	
23	3	NT12092	
23	4	NT12160	
23	5	NT12051	
23	6	NT12132	
23	7	NT12067	
23	8	NT12105	
23	9	NT12050	
23	10	NT12131	
23	11	NT12019	
23	12	NT12111	
23	13	NT12049	
23	14	NT12130	
23	15	NT12077	
23	16	NT12101	
23	17	NT12048	
23	18	NT12129	
23	19	NT12037	
23	20	NT12166	
23	21	NT12047	
23	22	NT12128	
23	23	NT12007	
23	24	NT12129	
23	25	NT12046	
23	26	NT12127	
23	27	NT12072	
23	28	NT12188	
23	29	NT12045	
23	30	NT12126	
23	31	NT12035	
23	32	NT12153	
23	33	NT12044	
23	34	NT12125	
23	35	NT12031	
23	36	NT12182	
23	37	NT12043	
23	38	NT12124	
23	39	NT12095	
23	40	NT12158	
23	41	NT12042	
23	42	NT12123	
23	43	NT12047	
23	44	NT12162	
23	45	NT12041	
23	46	NT12122	
23	47	NT12069	
23	48	NT12178	
24	1	NT12197	
24	2	NT12379	
24	3	NT12203	
24	4	NT12435	
24	5	NT12196	
24	6	NT12378	
24	7	NT12339	
24	8	NT12358	
24	9	NT12195	
24	10	NT12377	
24	11	NT12332	
24	12	NT12345	
24	13	NT12194	
24	14	NT12376	
24	15	NT12226	
24	16	NT12368	
24	17	NT12193	
24	18	NT12375	
24	19	NT12194	
24	20	NT12425	
24	21	NT12324	
24	22	NT12374	
24	23	NT12232	
24	24	NT12371	
24	25	NT12323	
24	26	NT12373	
24	27	NT12324	
24	28	NT12389	
24	29	NT12322	
24	30	NT12372	
24	31	NT12206	
24	32	NT12418	
24	33	NT12321	
24	34	NT12371	
24	35	NT12228	
24	36	NT12362	
24	37	NT12320	
24	38	NT12370	
24	39	NT12225	
24	40	NT12421	
24	41	NT12319	
24	42	NT12369	
24	43	NT12201	
24	44	NT12372	
24	45	NT12318	
24	46	NT12368	
24	47	NT12307	
24	48	NT12402	
25	1	NT12001	
25	2	NT12170	
25	3	NT12060	
25	4	NT12165	
25	5	NT12002	
25	6	NT12171	
25	7	NT12001	
25	8	NT12106	
25	9	NT12003	
25	10	NT12172	
25	11	NT12075	
25	12	NT12191	
25	13	NT12004	
25	14	NT12173	
25	15	NT12038	
25	16	NT12145	
25	17	NT12005	
25	18	NT12174	
25	19	NT12066	
25	20	NT12115	
25	21	NT12006	
25	22	NT12175	
25	23	NT12080	
25	24	NT12190	
25	25	NT12007	
25	26	NT12176	
25	27	NT12094	
25	28	NT12156	
25	29	NT12008	
25	30	NT12177	
25	31	NT12025	
25	32	NT12136	
25	33	NT12009	
25	34	NT12178	
25	35	NT12013	
25	36	NT12170	
25	37	NT12010	
25	38	NT12179	
25	39	NT12010	
25	40	NT12189	
25	41	NT12011	
25	42	NT12097	
25	43	NT12016	
25	44	NT12187	
25	45	NT12012	
25	46	NT12180	
25	47	NT12017	
25	48	NT12168	
26	1	NT12210	
26	2	NT12416	
26	3	NT12299	
26	4	NT12392	
26	5	NT12211	
26	6	NT12417	
26	7	NT12305	
26	8	NT12391	
26	9	NT12212	
26	10	NT12418	
26	11	NT12335	
26	12	NT12357	
26	13	NT12213	
26	14	NT12419	
26	15	NT12230	
26	16	NT12406	
26	17	NT12214	
26	18	NT12420	
26	19	NT12233	
26	20	NT12400	
26	21	NT12215	
26	22	NT12421	
26	23	NT12205	
26	24	NT12351	
26	25	NT12216	
26	26	NT12422	
26	27	NT12319	
26	28	NT12396	
26	29	NT12217	
26	30	NT12423	
26	31	NT12440	
26	32	NT12414	
26	33	NT12218	
26	34	NT12424	
26	35	NT12337	
26	36	NT12379	
26	37	NT12219	
26	38	NT12425	
26	39	NT12219	
26	40	NT12359	
26	41	NT12220	
26	42	NT12426	
26	43	NT12326	
26	44	NT12385	
26	45	NT12221	
26	46	NT12427	
26	47	NT12315	
26	48	NT12430	
27	1	NT12040	
27	2	NT12121	
27	3	NT12068	
27	4	NT12155	
27	5	NT12039	
27	6	NT12120	
27	7	NT12051	
27	8	NT12112	
27	9	NT12038	
27	10	NT12119	
27	11	NT12063	
27	12	NT12192	
27	13	NT12037	
27	14	NT12118	
27	15	NT12085	
27	16	NT12142	
27	17	NT12036	
27	18	NT12117	
27	19	NT12029	
27	20	NT12173	
27	21	NT12035	
27	22	NT12116	
27	23	NT12091	
27	24	NT12180	
27	25	NT12034	
27	26	NT12115	
27	27	NT12014	
27	28	NT12144	
27	29	NT12033	
27	30	NT12114	
27	31	NT12043	
27	32	NT12172	
27	33	NT12032	
27	34	NT12113	
27	35	NT12052	
27	36	NT12121	
27	37	NT12031	
27	38	NT12112	
27	39	NT12027	
27	40	NT12123	
27	41	NT12030	
27	42	NT12111	
27	43	NT12028	
27	44	NT12161	
27	45	NT12029	
27	46	NT12110	
27	47	NT12009	
27	48	NT12102	
28	1	NT12317	
28	2	NT12367	
28	3	NT12312	
28	4	NT12360	
28	5	NT12316	
28	6	NT12366	
28	7	NT12221	
28	8	NT12413	
28	9	NT12315	
28	10	NT12365	
28	11	NT12336	
28	12	NT12388	
28	13	NT12314	
28	14	NT12364	
28	15	NT12197	
28	16	NT12365	
28	17	NT12313	
28	18	NT12363	
28	19	NT12198	
28	20	NT12384	
28	21	NT12312	
28	22	NT12362	
28	23	NT12328	
28	24	NT12378	
28	25	NT12311	
28	26	NT12361	
28	27	NT12295	
28	28	NT12394	
28	29	NT12310	
28	30	NT12360	
28	31	NT12310	
28	32	NT12426	
28	33	NT12309	
28	34	NT12359	
28	35	NT12220	
28	36	NT12422	
28	37	NT12308	
28	38	NT12358	
28	39	NT12216	
28	40	NT12354	
28	41	NT12307	
28	42	NT12357	
28	43	NT12342	
28	44	NT12353	
28	45	NT12306	
28	46	NT12356	
28	47	NT12215	
28	48	NT12393	
29	1	NT12013	
