row	column	NT	Info
1	1	NT12463	
1	2	NT12620	
1	3	NT12516	
1	4	NT12788	
1	5	NT12464	
1	6	NT12621	
1	7	NT12490	
1	8	NT12766	
1	9	NT12465	
1	10	NT12622	
1	11	NT12521	
1	12	NT12671	
1	13	NT12466	
1	14	NT12623	
1	15	NT12488	
1	16	NT12770	
1	17	NT12467	
1	18	NT12624	
1	19	NT12477	
1	20	NT12630	
1	21	NT12468	
1	22	NT12625	
1	23	NT12476	
1	24	NT12731	
1	25	NT12469	
1	26	NT12626	
1	27	NT12482	
1	28	NT12686	
1	29	NT12470	
1	30	NT12627	
1	31	NT12489	
1	32	NT12771	
1	33	NT12471	
1	34	NT12628	
1	35	NT12830	
1	36	NT12643	
1	37	NT12472	
1	38	NT12629	
1	39	NT12515	
1	40	NT12620	
1	41	NT12473	
1	42	NT12630	
1	43	NT12464	
1	44	NT12626	
1	45	NT12474	
1	46	NT12631	
1	47	NT12864	
1	48	NT12734	
2	1	NT12644	
2	2	NT12814	
2	3	NT12652	
2	4	NT12499	
2	5	NT12645	
2	6	NT12815	
2	7	NT12697	
2	8	NT12845	
2	9	NT12646	
2	10	NT12816	
2	11	NT12711	
2	12	NT12815	
2	13	NT12647	
2	14	NT12817	
2	15	NT12804	
2	16	NT12518	
2	17	NT12648	
2	18	NT12818	
2	19	NT12758	
2	20	NT12511	
2	21	NT12649	
2	22	NT12819	
2	23	NT12747	
2	24	NT12464	
2	25	NT12650	
2	26	NT12820	
2	27	NT12649	
2	28	NT12843	
2	29	NT12651	
2	30	NT12838	
2	31	NT12792	
2	32	NT12508	
2	33	NT12652	
2	34	NT12839	
2	35	NT12696	
2	36	NT12901	
2	37	NT12653	
2	38	NT12840	
2	39	NT12759	
2	40	NT12838	
2	41	NT12654	
2	42	NT12841	
2	43	NT12765	
2	44	NT12885	
2	45	NT12655	
2	46	NT12842	
2	47	NT12790	
2	48	NT12495	
3	1	NT12872	
3	2	NT12789	
3	3	NT12514	
3	4	NT12673	
3	5	NT12871	
3	6	NT12788	
3	7	NT12502	
3	8	NT12675	
3	9	NT12870	
3	10	NT12787	
3	11	NT12498	
3	12	NT12636	
3	13	NT12869	
3	14	NT12786	
3	15	NT12528	
3	16	NT12634	
3	17	NT12868	
3	18	NT12785	
3	19	NT12467	
3	20	NT12683	
3	21	NT12867	
3	22	NT12784	
3	23	NT12872	
3	24	NT12737	
3	25	NT12866	
3	26	NT12783	
3	27	NT12829	
3	28	NT12777	
3	29	NT12865	
3	30	NT12782	
3	31	NT12500	
3	32	NT12629	
3	33	NT12864	
3	34	NT12781	
3	35	NT12507	
3	36	NT12727	
3	37	NT12863	
3	38	NT12780	
3	39	NT12478	
3	40	NT12783	
3	41	NT12862	
3	42	NT12779	
3	43	NT12862	
3	44	NT12689	
3	45	NT12837	
3	46	NT12778	
3	47	NT12513	
3	48	NT12769	
4	1	NT12813	
4	2	NT12477	
4	3	NT12744	
4	4	NT12892	
4	5	NT12812	
4	6	NT12518	
4	7	NT12653	
4	8	NT12904	
4	9	NT12811	
4	10	NT12511	
4	11	NT12796	
4	12	NT12855	
4	13	NT12810	
4	14	NT12530	
4	15	NT12663	
4	16	NT12500	
4	17	NT12809	
4	18	NT12492	
4	19	NT12791	
4	20	NT12903	
4	21	NT12808	
4	22	NT12493	
4	23	NT12694	
4	24	NT12840	
4	25	NT12807	
4	26	NT12490	
4	27	NT12751	
4	28	NT12888	
4	29	NT12806	
4	30	NT12491	
4	31	NT12746	
4	32	NT12861	
4	33	NT12805	
4	34	NT12496	
4	35	NT12809	
4	36	NT12886	
4	37	NT12804	
4	38	NT12497	
4	39	NT12650	
4	40	NT12842	
4	41	NT12803	
4	42	NT12494	
4	43	NT12717	
4	44	NT12883	
4	45	NT12802	
4	46	NT12495	
4	47	NT12702	
4	48	NT12844	
5	1	NT12475	
5	2	NT12632	
5	3	NT12487	
5	4	NT12718	
5	5	NT12476	
5	6	NT12633	
5	7	NT12824	
5	8	NT12638	
5	9	NT12477	
5	10	NT12634	
5	11	NT12833	
5	12	NT12679	
5	13	NT12478	
5	14	NT12635	
5	15	NT12826	
5	16	NT12670	
5	17	NT12479	
5	18	NT12636	
5	19	NT12837	
5	20	NT12787	
5	21	NT12480	
5	22	NT12637	
5	23	NT12512	
5	24	NT12680	
5	25	NT12481	
5	26	NT12638	
5	27	NT12869	
5	28	NT12690	
5	29	NT12482	
5	30	NT12639	
5	31	NT12491	
5	32	NT12720	
5	33	NT12483	
5	34	NT12640	
5	35	NT12505	
5	36	NT12724	
5	37	NT12484	
5	38	NT12641	
5	39	NT12863	
5	40	NT12623	
5	41	NT12485	
5	42	NT12642	
5	43	NT12484	
5	44	NT12678	
5	45	NT12486	
5	46	NT12643	
5	47	NT12483	
5	48	NT12621	
6	1	NT12656	
6	2	NT12843	
6	3	NT12699	
6	4	NT12858	
6	5	NT12657	
6	6	NT12844	
6	7	NT12701	
6	8	NT12902	
6	9	NT12658	
6	10	NT12845	
6	11	NT12712	
6	12	NT12894	
6	13	NT12659	
6	14	NT12846	
6	15	NT12695	
6	16	NT12497	
6	17	NT12660	
6	18	NT12847	
6	19	NT12716	
6	20	NT12851	
6	21	NT12661	
6	22	NT12848	
6	23	NT12801	
6	24	NT12878	
6	25	NT12662	
6	26	NT12849	
6	27	NT12709	
6	28	NT12839	
6	29	NT12663	
6	30	NT12850	
6	31	NT12644	
6	32	NT12893	
6	33	NT12664	
6	34	NT12851	
6	35	NT12660	
6	36	NT12496	
6	37	NT12665	
6	38	NT12852	
6	39	NT12651	
6	40	NT12465	
6	41	NT12666	
6	42	NT12853	
6	43	NT12646	
6	44	NT12819	
6	45	NT12667	
6	46	NT12854	
6	47	NT12805	
6	48	NT12816	
